Country,Responses
India,771
United States of America,624
Other,159
Canada,99
Germany,91
United Kingdom of Great Britain and Northern Ireland,91
China,84
Brazil,79
Russia,77
Turkey,66
Nigeria,63
Japan,54
France,53
Spain,52
Australia,44
Taiwan,42
Indonesia,38
Pakistan,37
South Korea,36
Ukraine,34
Tunisia,33
Poland,31
Kenya,29
"Iran, Islamic Republic of...",28
Egypt,27
Italy,27
Morocco,27
Mexico,25
Malaysia,22
Ireland,22
Singapore,21
Portugal,20
South Africa,19
Philippines,19
Colombia,18
Netherlands,17
Israel,16
Switzerland,15
Greece,15
Thailand,15
Viet Nam,14
Argentina,13
Sweden,13
Hong Kong (S.A.R.),12
Belarus,12
Romania,12
Algeria,12
Republic of Korea,11
New Zealand,10
Saudi Arabia,10
Chile,10
Czech Republic,8
Peru,8
Bangladesh,7
Hungary,5
Belgium,5
Austria,5
Denmark,3
Norway,2
