Country,Responses
United States,872
India,410
Other,145
Russia,100
United Kingdom,88
Australia,81
People 's Republic of China,74
Canada,68
Germany,61
France,61
Taiwan,52
Spain,46
Brazil,38
Singapore,37
South Korea,37
Ukraine,33
Turkey,31
Ireland,30
Indonesia,29
Pakistan,28
Iran,28
Italy,27
Malaysia,24
Philippines,22
Netherlands,21
Poland,20
South Africa,20
Switzerland,20
Japan,20
Egypt,19
Portugal,19
Colombia,17
Romania,15
New Zealand,14
Greece,14
Republic of China,14
Vietnam,13
Hong Kong,11
Israel,11
Hungary,11
Argentina,10
Kenya,10
Mexico,10
Nigeria,9
Belgium,9
Sweden,8
Chile,7
Belarus,7
Norway,5
Finland,5
Denmark,4
Czech Republic,3
