Country,Responses
United States of America,1082
India,657
China,267
Other,165
United Kingdom of Great Britain and Northern Ireland,131
Canada,123
Russia,113
France,104
Germany,103
I do not wish to disclose my location,83
Spain,75
Brazil,65
Turkey,56
Poland,54
Australia,51
Italy,47
Netherlands,41
Singapore,41
Mexico,34
Japan,34
Indonesia,33
South Korea,32
Portugal,32
Nigeria,31
Ukraine,31
Malaysia,30
South Africa,29
Pakistan,28
"Iran, Islamic Republic of...",27
Israel,25
Sweden,25
Tunisia,23
Egypt,22
Switzerland,21
Viet Nam,21
Greece,20
Romania,18
Morocco,17
Kenya,17
Colombia,17
Belarus,16
New Zealand,14
Philippines,14
Bangladesh,13
Ireland,13
Thailand,12
Argentina,12
Hungary,12
Peru,11
Hong Kong (S.A.R.),10
Chile,10
Norway,9
Belgium,8
Republic of Korea,8
Denmark,7
Austria,7
Finland,5
Czech Republic,4
